land_units_tables
43
accuracy	armour	campaign_action_points	category	charge_bonus	class	dismounted_charge_bonus	dismounted_melee_attack	historical_description_text	key	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	unknown18	unknown19	unknown20	unknown21	unknown22	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	strenghts_weaknesses_text	supports_first_person	training_level	officer	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	ability_global_recharge	attribute_group	spot_dist_tree	spot_dist_scrub	reload	loose_spacing	selected_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	capture_power	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flames	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missiles	damage_mod_all	ai_usage_group	can_skirmish	mounted_draughts	sync_locomotion
33	wh_main_emp_leather	2100	artillery	5	art_fld	2	10	wh_main_unit_long_text_emp_great_cannon	wh_dlc04_emp_art_hammer_of_the_witches_0	hu1_empire_helstorm_crew	wh_main_infantry_standard_blood_dismembers	17	12	60	38		False	False	False	False	False	0	wh_main_emp_sword_short		5	none	wh_dlc04_unit_short_text_emp_hammer_of_the_witches	wh_main_artillery_small	placeholder	True	trained	A_blank_record		wh_main_emp_art_great_cannon_hammer	True	40	1500	0	wh_cantRun	60	80	30	False	vo_sel_great_cannon	vo_sel_artillery	vo_sel_culture	1	10	small	0	30	0	0	4	25	0	0	ranged_direct	False	False	False
33	wh_main_emp_leather	2100	artillery	5	art_fld	2	10	wh_main_unit_long_text_emp_helstorm_rocket_battery	wh_dlc04_emp_art_sunmaker_0	hu1_empire_helstorm_crew	wh_main_infantry_standard_blood_dismembers	17	12	60	38		False	False	False	False	False	0	wh_main_emp_sword_short		5	none	wh_dlc04_unit_short_text_emp_sunmaker	wh_main_artillery_small	placeholder	True	trained	A_blank_record		wh_dlc04_emp_art_sunmaker_0	True	40	1500	0	wh_cantRun	60	80	30	False	vo_sel_helstorm	vo_sel_artillery	vo_sel_culture	1	10	small	0	72	0	0	4	0	0	0	ranged_indirect_arty	False	False	False
10	wh_main_emp_full_plate_barded	2100	cavalry	76	cav_mel	11	61	wh_main_unit_long_text_emp_reiksguard	wh_dlc04_emp_cav_knights_blazing_sun_0	hu1_blazing_sun_hr1_warhorse_lance_sword_shield	wh_main_cavalry_rider_standard_blood	40	22	70	88	wh_dlc04_emp_mnt_blazing_sun_warhorse	False	False	False	False	False	60	wh_dlc04_emp_lance_blazing_sun		5	wh_missile_block_30_metal	wh_dlc04_unit_short_text_emp_knights_blazing_sun	wh_main_cavalry_ordered	placeholder	False	well_trained	A_blank_record			True	40	1500	0	wh_hideForest	60	80	0	False	vo_sel_cavalry	vo_sel_cavalry	vo_sel_culture	1	8	large	0	0	0	25	0	0	0	0	melee_cav_shock	False	False	False
10	wh_main_emp_full_plate_barded_demigryph	2100	cavalry	46	cav_shk	22	50	wh_main_unit_long_text_emp_demigryph_knights	wh_dlc04_emp_cav_royal_altdorf_gryphites_0	hu1_empire_bc2_demigryph_halberd	wh_main_cavalry_rider_standard_blood	45	43	81	230	wh_dlc04_emp_mnt_demigryph_altdorf	False	False	False	False	False	24	wh_main_emp_demigryph_halberd		3	none	wh_dlc04_unit_short_text_emp_royal_altdorf_gryphites	wh_main_monstrous_cavalry	placeholder	False	well_trained	A_blank_record			True	40	1500	0	wh_fear_hideForest_terror	60	80	0	False	vo_sel_demigryph_knights	vo_sel_cavalry	vo_sel_culture	1	8	large	0	0	0	0	0	0	0	0	melee_flanker_shock	False	False	False
10	wh_main_emp_full_plate_barded_improved	2100	cavalry	62	cav_shk	11	61	wh_main_unit_long_text_emp_reiksguard	wh_dlc04_emp_cav_zintlers_reiksguard_0	hu1_empire_hr1_warhorse_lance_sword_shield	wh_main_cavalry_rider_standard_blood	43	38	81	88	wh_dlc04_emp_mnt_warhorse_reiksguard_zintlers	False	False	False	False	False	60	wh_main_emp_lance_reiksguard		5	wh_missile_block_30_metal	wh_dlc04_unit_short_text_emp_zintlers_reiksguard	wh_main_cavalry_ordered	placeholder	False	well_trained	A_blank_record			True	40	1500	0	wh_guerrilla_hideForest_immPsy	60	80	0	False	vo_sel_reiksguard_knights	vo_sel_reiksguard	vo_sel_cavalry	1	8	large	0	0	0	0	0	0	0	0	melee_flanker_shock	False	False	False
10	wh_main_emp_full_plate	2100	cavalry	46	com	9	50	wh_dlc04_unit_long_text_emp_arch_lector	wh_dlc04_emp_cha_arch_lector_1	hu1_empire_hr1_warhorse_dual_hammer	wh_dlc04_infantry_slow_hero_blood	30	55	75	5500	wh_dlc04_emp_mnt_warhorse_arch_lector	False	False	False	False	False	1	wh_dlc04_emp_hammer_arch_lector		1	none	wh_dlc04_unit_short_text_emp_arch_lector	wh_main_cavalry_chaotic	placeholder	False	elite	A_blank_record			True	40	1500	0	wh_encourage_hideForest	60	80	0	False	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1	8	large	0	0	0	15	0	0	25	0	mage	False	False	False
10	wh_dlc04_emp_full_plate_barded_arch_lector	2100	cavalry	46	com	9	50	wh_dlc04_unit_long_text_emp_arch_lector	wh_dlc04_emp_cha_arch_lector_2	hu1_empire_hr1_warhorse_dual_hammer	wh_dlc04_infantry_slow_hero_blood	30	55	75	5500	wh_dlc04_emp_mnt_warhorse_barded_arch_lector	False	False	False	False	False	1	wh_dlc04_emp_hammer_arch_lector		1	none	wh_dlc04_unit_short_text_emp_arch_lector	wh_main_cavalry_chaotic	placeholder	False	elite	A_blank_record			True	40	1500	0	wh_encourage_hideForest	60	80	0	False	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1	8	large	0	0	0	15	0	0	25	0	mage	False	False	False
10	wh_main_emp_leather_barded	2100	inf_melee	30	com	13	71	wh_dlc04_unit_long_text_emp_volkmar_the_grim	wh_dlc04_emp_cha_volkmar_the_grim_0	hu1_volkmar_staff_and_hammer	wh_main_infantry_standard_hero_blood	50	38	80	4260		False	False	False	False	False	0	wh_dlc04_emp_hammer_volkmar		1	none	wh_dlc04_unit_short_text_emp_volkmar_the_grim	wh_main_infantry	placeholder	False	elite	A_blank_record			True	40	1500	0	wh_encourage_hideForest	60	80	0	False	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1	10	small	0	0	0	25	0	0	15	0	mage	False	False	False
10	wh_main_emp_full_plate_barded	2100	war_machine	50	com	20	33	wh_dlc04_unit_long_text_emp_volkmar_the_grim	wh_dlc04_emp_cha_volkmar_the_grim_1	hu1_volkmar_staff_and_hammer	wh_main_infantry_standard_hero_blood	30	18	80	5190	wh_dlc04_emp_warhorse_armoured_war_altar	False	False	False	False	False	2	wh_dlc04_emp_hammer_volkmar_altar		1	none	wh_dlc04_unit_short_text_emp_volkmar_the_grim	wh_main_chariot	placeholder	False	elite	wh_dlc04_emp_war_altar_officer	wh_dlc04_emp_war_altar	wh_dlc04_emp_veh_war_altar	True	40	1500	0	wh_encourage_fear_terror_unbreakable	60	80	0	False	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1	8	large	0	0	0	25	1	0	15	0	mage	False	False	False
10	wh_main_emp_leather_barded	2100	cavalry	50	com	13	71	wh_dlc04_unit_long_text_emp_volkmar_the_grim	wh_dlc04_emp_cha_volkmar_the_grim_2	hu1_volkmar_hr1_warhorse_staff_and_hammer	wh_main_infantry_standard_hero_blood	50	38	80	4810	wh_main_emp_mnt_warhorse_360	False	False	False	False	False	1	wh_dlc04_emp_hammer_volkmar		1	none	wh_dlc04_unit_short_text_emp_volkmar_the_grim	wh_main_cavalry_chaotic	placeholder	False	elite	A_blank_record			True	40	1500	0	wh_encourage_hideForest	60	80	0	False	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1	8	large	0	0	0	25	0	0	15	0	mage	False	False	False
